head_event	relation	tail_event
PersonX seems larger and heavier at [that elevation]. [that elevation]	InstanceOf	elevation
PersonX seems larger and heavier at [that elevation]. [that elevation]	InstanceOf	altitude
PersonX seems larger and heavier at [that elevation]. [that elevation]	InstanceOf	height
[PersonX borrows PersonY's car]. [PersonX borrows PersonY's car]	InstanceOf	borrowing
PersonX gets [a second opinion]. [a second opinion]	InstanceOf	opinion
PersonX gets [a second opinion]. [a second opinion]	InstanceOf	information
PersonX gets [a second opinion]. [a second opinion]	InstanceOf	second opinion
[PersonX provides PersonY the estimate]. [PersonX provides PersonY the estimate]	InstanceOf	estimation
[PersonX puts it in PersonY's purse]. [PersonX puts it in PersonY's purse]	InstanceOf	placement
[PersonX knows much about PersonY]. [PersonX knows much about PersonY]	InstanceOf	knowledge
PersonX regulates commerce with [nations]. [nations]	InstanceOf	nations
[PersonX studies extra hard]. [PersonX studies extra hard]	InstanceOf	test preparation
[PersonX studies extra hard]. [PersonX studies extra hard]	InstanceOf	learning
[PersonX starts early]. [PersonX starts early]	InstanceOf	early start
[PersonX starts early]. [PersonX starts early]	InstanceOf	start
[PersonX starts early]. [PersonX starts early]	InstanceOf	beginning
PersonX waters [PersonY's garden]. [PersonY's garden]	InstanceOf	yard
PersonX waters [PersonY's garden]. [PersonY's garden]	InstanceOf	garden
PersonX is always [busy]. [busy]	InstanceOf	working
[PersonX gets a surprise]. [PersonX gets a surprise]	InstanceOf	surprise
[PersonX gets a surprise]. [PersonX gets a surprise]	InstanceOf	gift
[PersonX raises PersonY's glass]. [PersonX raises PersonY's glass]	InstanceOf	toast
PersonX wears [PersonX's boots]. [PersonX's boots]	InstanceOf	closed footwear
PersonX wears [PersonX's boots]. [PersonX's boots]	InstanceOf	footwear
PersonX wears [PersonX's boots]. [PersonX's boots]	InstanceOf	boot
[PersonX builds muscle]. [PersonX builds muscle]	InstanceOf	building muscle
[PersonX builds muscle]. [PersonX builds muscle]	InstanceOf	exercise
[PersonX builds muscle]. [PersonX builds muscle]	InstanceOf	body building
[PersonX builds muscle]. [PersonX builds muscle]	InstanceOf	strenuous activity
PersonX makes [perfect]. [perfect]	InstanceOf	perfection
PersonX becomes [PersonY's agent]. [PersonY's agent]	InstanceOf	representative
PersonX becomes [PersonY's agent]. [PersonY's agent]	InstanceOf	agent
PersonX improves [PersonX's appearance]. [PersonX's appearance]	InstanceOf	appearance
PersonX improves [PersonX's appearance]. [PersonX's appearance]	InstanceOf	visual appearance
[PersonX possesses PersonY's knowledge]. [PersonX possesses PersonY's knowledge]	InstanceOf	knowledge
[PersonX leans PersonY's head]. [PersonX leans PersonY's head]	InstanceOf	action
[PersonX leans PersonY's head]. [PersonX leans PersonY's head]	InstanceOf	movement
PersonX breaks [PersonX's hip]. [PersonX's hip]	InstanceOf	hip
PersonX changes [PersonX's direction]. [PersonX's direction]	InstanceOf	path
PersonX changes [PersonX's direction]. [PersonX's direction]	InstanceOf	direction
PersonX begins [to eat it]. [to eat it]	InstanceOf	eating
[PersonX loves PersonY with all my heart]. [PersonX loves PersonY with all my heart]	InstanceOf	caring
[PersonX loves PersonY with all my heart]. [PersonX loves PersonY with all my heart]	InstanceOf	positive emotion
[PersonX loves PersonY with all my heart]. [PersonX loves PersonY with all my heart]	InstanceOf	emotion
[PersonX loves PersonY with all my heart]. [PersonX loves PersonY with all my heart]	InstanceOf	positive feeling
[PersonX loves PersonY with all my heart]. [PersonX loves PersonY with all my heart]	InstanceOf	love
[PersonX loves PersonY with all my heart]. [PersonX loves PersonY with all my heart]	InstanceOf	loving
[PersonX loves PersonY with all my heart]. [PersonX loves PersonY with all my heart]	InstanceOf	adoration
[PersonX steps towards PersonY]. [PersonX steps towards PersonY]	InstanceOf	walking
[PersonX steps towards PersonY]. [PersonX steps towards PersonY]	InstanceOf	approach
[PersonX starts a band]. [PersonX starts a band]	InstanceOf	band
[PersonX starts a band]. [PersonX starts a band]	InstanceOf	musical group
[PersonX catches the bus to work]. [PersonX catches the bus to work]	InstanceOf	rides
[PersonX catches the bus to work]. [PersonX catches the bus to work]	InstanceOf	public transportation
[PersonX catches the bus to work]. [PersonX catches the bus to work]	InstanceOf	form of transportation
[PersonX meets PersonY need]. [PersonX meets PersonY need]	InstanceOf	accomodation
[PersonX studies for PersonX's math test]. [PersonX studies for PersonX's math test]	InstanceOf	school activity
[PersonX studies for PersonX's math test]. [PersonX studies for PersonX's math test]	InstanceOf	study
[PersonX studies for PersonX's math test]. [PersonX studies for PersonX's math test]	InstanceOf	test preparation
[PersonX draws PersonX's conclusions]. [PersonX draws PersonX's conclusions]	InstanceOf	analysis
[PersonX draws PersonX's conclusions]. [PersonX draws PersonX's conclusions]	InstanceOf	conclusions
[PersonX draws PersonX's conclusions]. [PersonX draws PersonX's conclusions]	InstanceOf	judgement
[PersonX decides to order pizza instead]. [PersonX decides to order pizza instead]	InstanceOf	selection
[PersonX decides to order pizza instead]. [PersonX decides to order pizza instead]	InstanceOf	choice
[PersonX decides to order pizza instead]. [PersonX decides to order pizza instead]	InstanceOf	decision
[PersonX finds gold]. [PersonX finds gold]	InstanceOf	discovery
[PersonX finds gold]. [PersonX finds gold]	InstanceOf	finding
[PersonX goes to the doctor's office]. [PersonX goes to the doctor's office]	InstanceOf	going to the doctor
[PersonX goes to the doctor's office]. [PersonX goes to the doctor's office]	InstanceOf	visiting doctor
[PersonX finds PersonY at home]. [PersonX finds PersonY at home]	InstanceOf	finding
PersonX fills [PersonY's lungs]. [PersonY's lungs]	InstanceOf	organ
PersonX fills [PersonY's lungs]. [PersonY's lungs]	InstanceOf	vital organ
PersonX fills [PersonY's lungs]. [PersonY's lungs]	InstanceOf	lung
[PersonX reads PersonX's diary]. [PersonX reads PersonX's diary]	InstanceOf	reading
PersonX receives [PersonY's answer]. [PersonY's answer]	InstanceOf	response
PersonX receives [PersonY's answer]. [PersonY's answer]	InstanceOf	reply
PersonX receives [PersonY's answer]. [PersonY's answer]	InstanceOf	answer
PersonX would be [fun]. [fun]	InstanceOf	fun
[PersonX forms a band]. [PersonX forms a band]	InstanceOf	music
PersonX wants [to learn how to play the guitar]. [to learn how to play the guitar]	InstanceOf	learning
[PersonX spends a lot of time together]. [PersonX spends a lot of time together]	InstanceOf	involvement
[PersonX sees a pretty girl]. [PersonX sees a pretty girl]	InstanceOf	observation
PersonX rents [an apartment]. [an apartment]	InstanceOf	residence
PersonX rents [an apartment]. [an apartment]	InstanceOf	apartment
PersonX rents [an apartment]. [an apartment]	InstanceOf	property
PersonX rents [an apartment]. [an apartment]	InstanceOf	accommodation
PersonX rents [an apartment]. [an apartment]	InstanceOf	dwelling unit
PersonX rents [an apartment]. [an apartment]	InstanceOf	rental property
PersonX rents [an apartment]. [an apartment]	InstanceOf	dwelling
[PersonX tells PersonY it was okay]. [PersonX tells PersonY it was okay]	InstanceOf	talk
[PersonX tells PersonY it was okay]. [PersonX tells PersonY it was okay]	InstanceOf	console
[PersonX tells PersonY it was okay]. [PersonX tells PersonY it was okay]	InstanceOf	discussion technique
[PersonX tells PersonY it was okay]. [PersonX tells PersonY it was okay]	InstanceOf	comfort
[PersonX tells PersonY it was okay]. [PersonX tells PersonY it was okay]	InstanceOf	support
PersonX wants [to fly]. [to fly]	InstanceOf	air travel
PersonX starts to [date]. [date]	InstanceOf	date
PersonX grants PersonY [request]. [request]	InstanceOf	request
PersonX grants PersonY [request]. [request]	InstanceOf	inquiry
[PersonX visits a farm]. [PersonX visits a farm]	InstanceOf	farm visit
[PersonX visits a farm]. [PersonX visits a farm]	InstanceOf	visit
PersonX looks [PersonY's way]. [PersonY's way]	InstanceOf	direction
PersonX is watching [a scary movie]. [a scary movie]	InstanceOf	scary movie
PersonX is watching [a scary movie]. [a scary movie]	InstanceOf	horror film
PersonX is watching [a scary movie]. [a scary movie]	InstanceOf	movie
PersonX is watching [a scary movie]. [a scary movie]	InstanceOf	film
[PersonX does not get along]. [PersonX does not get along]	InstanceOf	disagreement
[PersonX does not get along]. [PersonX does not get along]	InstanceOf	difficult interpersonal situation
[PersonX does not get along]. [PersonX does not get along]	InstanceOf	disharmony
[PersonX gets published]. [PersonX gets published]	InstanceOf	publishing
[PersonX gets published]. [PersonX gets published]	InstanceOf	publication
PersonX dyed [PersonX's hair] blue. [PersonX's hair]	InstanceOf	hair
[PersonX distributes among PersonY]. [PersonX distributes among PersonY]	InstanceOf	distribution
[PersonX distributes among PersonY]. [PersonX distributes among PersonY]	InstanceOf	distributing
PersonX gives PersonY [a note]. [a note]	InstanceOf	note
PersonX gives PersonY [a note]. [a note]	InstanceOf	information
PersonX gives PersonY [a note]. [a note]	InstanceOf	letter
[PersonX has trouble falling asleep]. [PersonX has trouble falling asleep]	InstanceOf	disorder
[PersonX has trouble falling asleep]. [PersonX has trouble falling asleep]	InstanceOf	trouble
[PersonX has trouble falling asleep]. [PersonX has trouble falling asleep]	InstanceOf	sleep disturbance
[PersonX has trouble falling asleep]. [PersonX has trouble falling asleep]	InstanceOf	insomnia
[PersonX has trouble falling asleep]. [PersonX has trouble falling asleep]	InstanceOf	problem
PersonX catches the bus to [work]. [work]	InstanceOf	work
PersonX catches the bus to [work]. [work]	InstanceOf	employment
PersonX surprises [PersonX's family]. [PersonX's family]	InstanceOf	relatives
PersonX surprises [PersonX's family]. [PersonX's family]	InstanceOf	family
[PersonX loves to skateboard]. [PersonX loves to skateboard]	InstanceOf	activity
[PersonX loves to skateboard]. [PersonX loves to skateboard]	InstanceOf	enjoyment
[PersonX loves to skateboard]. [PersonX loves to skateboard]	InstanceOf	skateboard
PersonX looks [awful]. [awful]	InstanceOf	bad
PersonX is [PersonY's maid of honor]. [PersonY's maid of honor]	InstanceOf	maid of honor
PersonX is [PersonY's maid of honor]. [PersonY's maid of honor]	InstanceOf	bridesmaid
PersonX is [PersonY's maid of honor]. [PersonY's maid of honor]	InstanceOf	assistant
PersonX is [PersonY's maid of honor]. [PersonY's maid of honor]	InstanceOf	helper
[PersonX sleeps tonight]. [PersonX sleeps tonight]	InstanceOf	sleeping
[PersonX sleeps tonight]. [PersonX sleeps tonight]	InstanceOf	resting
[PersonX sleeps tonight]. [PersonX sleeps tonight]	InstanceOf	rest
[PersonX sleeps tonight]. [PersonX sleeps tonight]	InstanceOf	sleep
[PersonX sleeps tonight]. [PersonX sleeps tonight]	InstanceOf	basic need
PersonX gets [the stain]. [the stain]	InstanceOf	stain
PersonX gets [the stain]. [the stain]	InstanceOf	visible damage
PersonX gets [the stain]. [the stain]	InstanceOf	spot
PersonX gets [the stain]. [the stain]	InstanceOf	blemish
PersonX gets [the stain]. [the stain]	InstanceOf	flaw
PersonX gets [the stain]. [the stain]	InstanceOf	quality defect
PersonX gets [the stain]. [the stain]	InstanceOf	dirt
PersonX gets [the stain]. [the stain]	InstanceOf	slight flaw
PersonX gets [the stain]. [the stain]	InstanceOf	small flaw
PersonX gets [the stain]. [the stain]	InstanceOf	mark
PersonX prevents PersonY from [coming]. [coming]	InstanceOf	arrival
PersonX prevents PersonY from [coming]. [coming]	InstanceOf	attendance
PersonX prevents PersonY from [coming]. [coming]	InstanceOf	coming
PersonX prevents PersonY from [coming]. [coming]	InstanceOf	presence
PersonX makes [PersonY's concessions]. [PersonY's concessions]	InstanceOf	compromise
PersonX makes [PersonY's concessions]. [PersonY's concessions]	InstanceOf	concessions
[PersonX rests on PersonY's shoulder]. [PersonX rests on PersonY's shoulder]	InstanceOf	activity
[PersonX rests on PersonY's shoulder]. [PersonX rests on PersonY's shoulder]	InstanceOf	resting
[PersonX rests on PersonY's shoulder]. [PersonX rests on PersonY's shoulder]	InstanceOf	relaxing
PersonX moves to [florida]. [florida]	InstanceOf	u s state
PersonX moves to [florida]. [florida]	InstanceOf	southern state
PersonX moves to [florida]. [florida]	InstanceOf	florida
PersonX moves to [florida]. [florida]	InstanceOf	state
PersonX moves to [florida]. [florida]	InstanceOf	large state
[PersonX eats toast]. [PersonX eats toast]	InstanceOf	eating dry food
[PersonX eats toast]. [PersonX eats toast]	InstanceOf	toast
[PersonX eats toast]. [PersonX eats toast]	InstanceOf	food
[PersonX eats toast]. [PersonX eats toast]	InstanceOf	eating
PersonX conceals [PersonY's identity]. [PersonY's identity]	InstanceOf	information
PersonX conceals [PersonY's identity]. [PersonY's identity]	InstanceOf	identity
[PersonX puts PersonY together]. [PersonX puts PersonY together]	InstanceOf	help
[PersonX puts PersonY together]. [PersonX puts PersonY together]	InstanceOf	practical support service
[PersonX puts PersonY together]. [PersonX puts PersonY together]	InstanceOf	advice
[PersonX puts PersonY together]. [PersonX puts PersonY together]	InstanceOf	support
PersonX needs [a shot]. [a shot]	InstanceOf	alcohol
PersonX needs [a shot]. [a shot]	InstanceOf	shots
PersonX needs [a shot]. [a shot]	InstanceOf	drink
[PersonX earns money]. [PersonX earns money]	InstanceOf	earning
[PersonX earns money]. [PersonX earns money]	InstanceOf	income
[PersonX trembles in every limb]. [PersonX trembles in every limb]	InstanceOf	symptom
[PersonX trembles in every limb]. [PersonX trembles in every limb]	InstanceOf	condition
[PersonX trembles in every limb]. [PersonX trembles in every limb]	InstanceOf	problem
[PersonX trembles in every limb]. [PersonX trembles in every limb]	InstanceOf	anxiety
[PersonX trembles in every limb]. [PersonX trembles in every limb]	InstanceOf	shake
[PersonX trembles in every limb]. [PersonX trembles in every limb]	InstanceOf	shiver
[PersonX trembles in every limb]. [PersonX trembles in every limb]	InstanceOf	reaction
[PersonX trembles in every limb]. [PersonX trembles in every limb]	InstanceOf	physical sensation
[PersonX trembles in every limb]. [PersonX trembles in every limb]	InstanceOf	movement
[PersonX likes a girl]. [PersonX likes a girl]	InstanceOf	passionate emotion
[PersonX likes a girl]. [PersonX likes a girl]	InstanceOf	romance
[PersonX likes a girl]. [PersonX likes a girl]	InstanceOf	positive emotion
[PersonX likes a girl]. [PersonX likes a girl]	InstanceOf	liking
[PersonX likes a girl]. [PersonX likes a girl]	InstanceOf	like
[PersonX likes a girl]. [PersonX likes a girl]	InstanceOf	love
[PersonX likes a girl]. [PersonX likes a girl]	InstanceOf	affection
[PersonX likes a girl]. [PersonX likes a girl]	InstanceOf	attraction
[PersonX likes a girl]. [PersonX likes a girl]	InstanceOf	expressing positive feeling
[PersonX conveys PersonY's impression]. [PersonX conveys PersonY's impression]	InstanceOf	impression
PersonX gets [a part]. [a part]	InstanceOf	assignment
PersonX gets [a part]. [a part]	InstanceOf	role
PersonX gets [a part]. [a part]	InstanceOf	part
[PersonX practises really hard]. [PersonX practises really hard]	InstanceOf	improvement
[PersonX practises really hard]. [PersonX practises really hard]	InstanceOf	practice
[PersonX practises really hard]. [PersonX practises really hard]	InstanceOf	work
[PersonX practises really hard]. [PersonX practises really hard]	InstanceOf	effort
PersonX gets [a second job]. [a second job]	InstanceOf	job
PersonX gets [a second job]. [a second job]	InstanceOf	income source
PersonX gets [a second job]. [a second job]	InstanceOf	work
PersonX gets [a second job]. [a second job]	InstanceOf	employment
PersonX gets [a second job]. [a second job]	InstanceOf	second job
PersonX calls [PersonX's work]. [PersonX's work]	InstanceOf	employer
PersonX calls [PersonX's work]. [PersonX's work]	InstanceOf	work
PersonX calls [PersonX's work]. [PersonX's work]	InstanceOf	organization
PersonX calls [PersonX's work]. [PersonX's work]	InstanceOf	place of employment
PersonX calls [PersonX's work]. [PersonX's work]	InstanceOf	workplace
[PersonX walks to the park]. [PersonX walks to the park]	InstanceOf	activity
[PersonX walks to the park]. [PersonX walks to the park]	InstanceOf	physical activity
[PersonX walks to the park]. [PersonX walks to the park]	InstanceOf	walking
[PersonX walks to the park]. [PersonX walks to the park]	InstanceOf	walk
[PersonX walks to the park]. [PersonX walks to the park]	InstanceOf	gentle exercise
[PersonX walks to the park]. [PersonX walks to the park]	InstanceOf	cardiovascular exercise
[PersonX walks to the park]. [PersonX walks to the park]	InstanceOf	exercise
[PersonX walks to the park]. [PersonX walks to the park]	InstanceOf	light exercise
[PersonX walks to the park]. [PersonX walks to the park]	InstanceOf	aerobic activity
[PersonX walks to the park]. [PersonX walks to the park]	InstanceOf	regular exercise
[PersonX walks to the park]. [PersonX walks to the park]	InstanceOf	action
[PersonX walks to the park]. [PersonX walks to the park]	InstanceOf	moderate exercise
[PersonX walks to the park]. [PersonX walks to the park]	InstanceOf	aerobic exercise
PersonX feels [relief]. [relief]	InstanceOf	mental state
PersonX feels [relief]. [relief]	InstanceOf	feeling
PersonX feels [relief]. [relief]	InstanceOf	emotion
PersonX feels [relief]. [relief]	InstanceOf	relief
PersonX feels [relief]. [relief]	InstanceOf	comfort
PersonX feels [relief]. [relief]	InstanceOf	positive emotion
[PersonX grinds for a week]. [PersonX grinds for a week]	InstanceOf	task
[PersonX grinds for a week]. [PersonX grinds for a week]	InstanceOf	responsibility
[PersonX grinds for a week]. [PersonX grinds for a week]	InstanceOf	grinding
[PersonX grinds for a week]. [PersonX grinds for a week]	InstanceOf	effort
[PersonX grinds for a week]. [PersonX grinds for a week]	InstanceOf	process
PersonX has a fear of [heights]. [heights]	InstanceOf	heights
PersonX has a fear of [heights]. [heights]	InstanceOf	elevations
PersonX has [to take PersonY to the hospital]. [to take PersonY to the hospital]	InstanceOf	help
PersonX has [to take PersonY to the hospital]. [to take PersonY to the hospital]	InstanceOf	assist
PersonX has [to take PersonY to the hospital]. [to take PersonY to the hospital]	InstanceOf	emergency
PersonX has [to take PersonY to the hospital]. [to take PersonY to the hospital]	InstanceOf	support
PersonX takes place in [the course]. [the course]	InstanceOf	activity
PersonX takes place in [the course]. [the course]	InstanceOf	course
PersonX takes place in [the course]. [the course]	InstanceOf	study
PersonX takes place in [the course]. [the course]	InstanceOf	class
PersonX takes place in [the course]. [the course]	InstanceOf	structured activity
[PersonX scrambles eggs]. [PersonX scrambles eggs]	InstanceOf	breakfast arrangement
[PersonX scrambles eggs]. [PersonX scrambles eggs]	InstanceOf	eggs
[PersonX scrambles eggs]. [PersonX scrambles eggs]	InstanceOf	food
[PersonX scrambles eggs]. [PersonX scrambles eggs]	InstanceOf	cooking
[PersonX scrambles eggs]. [PersonX scrambles eggs]	InstanceOf	cooking activity
[PersonX steals PersonY's purse]. [PersonX steals PersonY's purse]	InstanceOf	steal
[PersonX steals PersonY's purse]. [PersonX steals PersonY's purse]	InstanceOf	offence
[PersonX steals PersonY's purse]. [PersonX steals PersonY's purse]	InstanceOf	theft
[PersonX steals PersonY's purse]. [PersonX steals PersonY's purse]	InstanceOf	property crime
[PersonX steals PersonY's purse]. [PersonX steals PersonY's purse]	InstanceOf	delinquent behavior
[PersonX steals PersonY's purse]. [PersonX steals PersonY's purse]	InstanceOf	criminal offence
[PersonX steals PersonY's purse]. [PersonX steals PersonY's purse]	InstanceOf	serious offence
[PersonX steals PersonY's purse]. [PersonX steals PersonY's purse]	InstanceOf	inappropriate form of behavior
[PersonX steals PersonY's purse]. [PersonX steals PersonY's purse]	InstanceOf	thief ability
[PersonX steals PersonY's purse]. [PersonX steals PersonY's purse]	InstanceOf	illegal practice
[PersonX steals PersonY's purse]. [PersonX steals PersonY's purse]	InstanceOf	stealing
[PersonX steals PersonY's purse]. [PersonX steals PersonY's purse]	InstanceOf	illegal act
PersonX walks to [the park]. [the park]	InstanceOf	community facility
PersonX walks to [the park]. [the park]	InstanceOf	place
PersonX walks to [the park]. [the park]	InstanceOf	facility
PersonX walks to [the park]. [the park]	InstanceOf	recreation
PersonX walks to [the park]. [the park]	InstanceOf	public place
PersonX walks to [the park]. [the park]	InstanceOf	park
PersonX walks to [the park]. [the park]	InstanceOf	public area
PersonX walks to [the park]. [the park]	InstanceOf	public facility
PersonX walks to [the park]. [the park]	InstanceOf	public space
PersonX walks to [the park]. [the park]	InstanceOf	location
PersonX walks to [the park]. [the park]	InstanceOf	area
PersonX runs [errands]. [errands]	InstanceOf	activity
PersonX runs [errands]. [errands]	InstanceOf	errand
PersonX runs [errands]. [errands]	InstanceOf	tasks
[PersonX wants a car]. [PersonX wants a car]	InstanceOf	hope
[PersonX wants a car]. [PersonX wants a car]	InstanceOf	wish
[PersonX runs full speed]. [PersonX runs full speed]	InstanceOf	cardio workout
[PersonX runs full speed]. [PersonX runs full speed]	InstanceOf	activity
[PersonX runs full speed]. [PersonX runs full speed]	InstanceOf	physical activity
[PersonX runs full speed]. [PersonX runs full speed]	InstanceOf	run
[PersonX runs full speed]. [PersonX runs full speed]	InstanceOf	running
[PersonX runs full speed]. [PersonX runs full speed]	InstanceOf	sport
[PersonX runs full speed]. [PersonX runs full speed]	InstanceOf	cardiovascular exercise
[PersonX runs full speed]. [PersonX runs full speed]	InstanceOf	exercise
[PersonX runs full speed]. [PersonX runs full speed]	InstanceOf	cardio exercise
[PersonX runs full speed]. [PersonX runs full speed]	InstanceOf	aerobic activity
[PersonX runs full speed]. [PersonX runs full speed]	InstanceOf	speed
[PersonX runs full speed]. [PersonX runs full speed]	InstanceOf	bodily movement
[PersonX runs full speed]. [PersonX runs full speed]	InstanceOf	movement
[PersonX runs full speed]. [PersonX runs full speed]	InstanceOf	aerobic exercise
PersonX leaves [class]. [class]	InstanceOf	educational institution
PersonX leaves [class]. [class]	InstanceOf	activity
PersonX leaves [class]. [class]	InstanceOf	room
PersonX leaves [class]. [class]	InstanceOf	classroom
PersonX leaves [class]. [class]	InstanceOf	class
PersonX leaves [class]. [class]	InstanceOf	learning time
PersonX leaves [class]. [class]	InstanceOf	setting
PersonX leaves [class]. [class]	InstanceOf	school facility
PersonX leaves [class]. [class]	InstanceOf	area
[PersonX refuses to pay]. [PersonX refuses to pay]	InstanceOf	undesirable behavior
[PersonX refuses to pay]. [PersonX refuses to pay]	InstanceOf	refusal
[PersonX refuses to pay]. [PersonX refuses to pay]	InstanceOf	rejection
[PersonX refuses to pay]. [PersonX refuses to pay]	InstanceOf	action
[PersonX refuses to pay]. [PersonX refuses to pay]	InstanceOf	behavior
PersonX wins [the match]. [the match]	InstanceOf	activity
PersonX wins [the match]. [the match]	InstanceOf	recreational activity
PersonX wins [the match]. [the match]	InstanceOf	competition
PersonX wins [the match]. [the match]	InstanceOf	game
PersonX wins [the match]. [the match]	InstanceOf	match
PersonX buys [a television]. [a television]	InstanceOf	electronics
PersonX buys [a television]. [a television]	InstanceOf	electronic equipment
PersonX buys [a television]. [a television]	InstanceOf	television
PersonX buys [a television]. [a television]	InstanceOf	electrical appliance
PersonX buys [a television]. [a television]	InstanceOf	item
PersonX buys [a television]. [a television]	InstanceOf	electric appliance
PersonX buys [a television]. [a television]	InstanceOf	appliance
PersonX buys [a television]. [a television]	InstanceOf	device
