head_event	relation	tail_event
PersonX performs [PersonY's task]. [PersonY's task]	InstanceOf	activity
PersonX performs [PersonY's task]. [PersonY's task]	InstanceOf	task
PersonX performs [PersonY's task]. [PersonY's task]	InstanceOf	assignment
[PersonX soaks everything around PersonY]. [PersonX soaks everything around PersonY]	InstanceOf	soak
[PersonX soaks everything around PersonY]. [PersonX soaks everything around PersonY]	InstanceOf	wetting
[PersonX soaks everything around PersonY]. [PersonX soaks everything around PersonY]	InstanceOf	wetness
[PersonX soaks everything around PersonY]. [PersonX soaks everything around PersonY]	InstanceOf	saturation
[PersonX tells PersonY's boss]. [PersonX tells PersonY's boss]	InstanceOf	talk
[PersonX tells PersonY's boss]. [PersonX tells PersonY's boss]	InstanceOf	interaction
[PersonX tells PersonY's boss]. [PersonX tells PersonY's boss]	InstanceOf	sharing information
[PersonX tells PersonY's boss]. [PersonX tells PersonY's boss]	InstanceOf	talking
[PersonX tells PersonY's boss]. [PersonX tells PersonY's boss]	InstanceOf	chat
[PersonX tells PersonY's boss]. [PersonX tells PersonY's boss]	InstanceOf	speaking
[PersonX tells PersonY's boss]. [PersonX tells PersonY's boss]	InstanceOf	speech
[PersonX tells PersonY's boss]. [PersonX tells PersonY's boss]	InstanceOf	clear communication
[PersonX tells PersonY's boss]. [PersonX tells PersonY's boss]	InstanceOf	communication
PersonX improves [PersonX's game]. [PersonX's game]	InstanceOf	skill
PersonX improves [PersonX's game]. [PersonX's game]	InstanceOf	game
[PersonX passes the time]. [PersonX passes the time]	InstanceOf	activity
[PersonX passes the time]. [PersonX passes the time]	InstanceOf	passing time
[PersonX concentrates PersonX's efforts]. [PersonX concentrates PersonX's efforts]	InstanceOf	concentration
[PersonX concentrates PersonX's efforts]. [PersonX concentrates PersonX's efforts]	InstanceOf	focus
[PersonX concentrates PersonX's efforts]. [PersonX concentrates PersonX's efforts]	InstanceOf	effort
[PersonX gets PersonY's understanding]. [PersonX gets PersonY's understanding]	InstanceOf	understanding
[PersonX makes progress]. [PersonX makes progress]	InstanceOf	success
[PersonX makes progress]. [PersonX makes progress]	InstanceOf	progress
[PersonX makes progress]. [PersonX makes progress]	InstanceOf	progression
PersonX takes PersonY to [disneyland]. [disneyland]	InstanceOf	theme park
PersonX takes PersonY to [disneyland]. [disneyland]	InstanceOf	tourist attraction
PersonX takes PersonY to [disneyland]. [disneyland]	InstanceOf	los angeles attraction
PersonX takes PersonY to [disneyland]. [disneyland]	InstanceOf	amusement park
PersonX takes PersonY to [disneyland]. [disneyland]	InstanceOf	disneyland
PersonX takes PersonY to [disneyland]. [disneyland]	InstanceOf	southern california tourist destination
PersonX takes PersonY to [disneyland]. [disneyland]	InstanceOf	disney theme park
PersonX takes PersonY to [disneyland]. [disneyland]	InstanceOf	popular southern california attraction
PersonX inherits as [PersonY's trait]. [PersonY's trait]	InstanceOf	trait
PersonX inherits as [PersonY's trait]. [PersonY's trait]	InstanceOf	characteristic
PersonX inherits as [PersonY's trait]. [PersonY's trait]	InstanceOf	character
PersonX lifts [PersonY's hips]. [PersonY's hips]	InstanceOf	hips
[PersonX takes part in affairs]. [PersonX takes part in affairs]	InstanceOf	participation
PersonX catches lots of [fish]. [fish]	InstanceOf	protein rich food
PersonX catches lots of [fish]. [fish]	InstanceOf	lean protein
PersonX catches lots of [fish]. [fish]	InstanceOf	fish
PersonX catches lots of [fish]. [fish]	InstanceOf	aquatic animal
[PersonX climbs onto the bed]. [PersonX climbs onto the bed]	InstanceOf	climbing
PersonX takes part in [the movement]. [the movement]	InstanceOf	revolution
PersonX takes part in [the movement]. [the movement]	InstanceOf	activity
PersonX takes part in [the movement]. [the movement]	InstanceOf	movement
[PersonX raises PersonY's children]. [PersonX raises PersonY's children]	InstanceOf	parenting
[PersonX decides to get a cat]. [PersonX decides to get a cat]	InstanceOf	choice
[PersonX decides to get a cat]. [PersonX decides to get a cat]	InstanceOf	decision
[PersonX is going to be fired]. [PersonX is going to be fired]	InstanceOf	termination
[PersonX is going to be fired]. [PersonX is going to be fired]	InstanceOf	dismissal
[PersonX plays mini golf]. [PersonX plays mini golf]	InstanceOf	activity
[PersonX plays mini golf]. [PersonX plays mini golf]	InstanceOf	sport
PersonX gives PersonY [evidence]. [evidence]	InstanceOf	proof
PersonX gives PersonY [evidence]. [evidence]	InstanceOf	evidence
PersonX gives PersonY [evidence]. [evidence]	InstanceOf	information
PersonX gives PersonY [evidence]. [evidence]	InstanceOf	verification
[PersonX revolves around the sun]. [PersonX revolves around the sun]	InstanceOf	orbit
[PersonX revolves around the sun]. [PersonX revolves around the sun]	InstanceOf	movement
[PersonX wants to visit]. [PersonX wants to visit]	InstanceOf	wish
[PersonX wants to visit]. [PersonX wants to visit]	InstanceOf	hope
PersonX eats [more healthy food]. [more healthy food]	InstanceOf	healthy food
[PersonX enjoys PersonX's day]. [PersonX enjoys PersonX's day]	InstanceOf	positive feeling
[PersonX enjoys PersonX's day]. [PersonX enjoys PersonX's day]	InstanceOf	happiness
[PersonX enjoys PersonX's day]. [PersonX enjoys PersonX's day]	InstanceOf	good feeling
[PersonX enjoys PersonX's day]. [PersonX enjoys PersonX's day]	InstanceOf	positive emotion
[PersonX enjoys PersonX's day]. [PersonX enjoys PersonX's day]	InstanceOf	enjoyment
[PersonX cups PersonY's cheek]. [PersonX cups PersonY's cheek]	InstanceOf	cupping
[PersonX cups PersonY's cheek]. [PersonX cups PersonY's cheek]	InstanceOf	touching
[PersonX cups PersonY's cheek]. [PersonX cups PersonY's cheek]	InstanceOf	contact
[PersonX cups PersonY's cheek]. [PersonX cups PersonY's cheek]	InstanceOf	casual contact
[PersonX cups PersonY's cheek]. [PersonX cups PersonY's cheek]	InstanceOf	action
[PersonX cups PersonY's cheek]. [PersonX cups PersonY's cheek]	InstanceOf	touch
PersonX asks PersonY [thought]. [thought]	InstanceOf	opinion
PersonX asks PersonY [thought]. [thought]	InstanceOf	thought
PersonX asks PersonY [thought]. [thought]	InstanceOf	perspective
PersonX asks PersonY [thought]. [thought]	InstanceOf	view
[PersonX brings PersonX's grades up]. [PersonX brings PersonX's grades up]	InstanceOf	improvement
[PersonX thanks PersonY's friend]. [PersonX thanks PersonY's friend]	InstanceOf	gratitude
[PersonX thanks PersonY's friend]. [PersonX thanks PersonY's friend]	InstanceOf	thanks
[PersonX always struggled]. [PersonX always struggled]	InstanceOf	difficulty
[PersonX always struggled]. [PersonX always struggled]	InstanceOf	negative experience
[PersonX always struggled]. [PersonX always struggled]	InstanceOf	struggle
[PersonX always struggled]. [PersonX always struggled]	InstanceOf	effort
PersonX loves [the view]. [the view]	InstanceOf	view
[PersonX waters it every day]. [PersonX waters it every day]	InstanceOf	watering
[PersonX waters it every day]. [PersonX waters it every day]	InstanceOf	good gardening practice
[PersonX sells candy bars]. [PersonX sells candy bars]	InstanceOf	sale
[PersonX sells candy bars]. [PersonX sells candy bars]	InstanceOf	conducting business activity
[PersonX sells candy bars]. [PersonX sells candy bars]	InstanceOf	selling
[PersonX sells candy bars]. [PersonX sells candy bars]	InstanceOf	business
[PersonX sells candy bars]. [PersonX sells candy bars]	InstanceOf	job
PersonX takes PersonY to [PersonX's favorite restaurant]. [PersonX's favorite restaurant]	InstanceOf	venue
PersonX takes PersonY to [PersonX's favorite restaurant]. [PersonX's favorite restaurant]	InstanceOf	eatery
PersonX takes PersonY to [PersonX's favorite restaurant]. [PersonX's favorite restaurant]	InstanceOf	favorite restaurant
PersonX finds [work]. [work]	InstanceOf	job
PersonX finds [work]. [work]	InstanceOf	employment
PersonX finds [work]. [work]	InstanceOf	opportunity
PersonX finds [work]. [work]	InstanceOf	work
[PersonX teaches PersonY something]. [PersonX teaches PersonY something]	InstanceOf	teaching
PersonX resumes [PersonX's journey]. [PersonX's journey]	InstanceOf	adventure
PersonX resumes [PersonX's journey]. [PersonX's journey]	InstanceOf	journey
PersonX resumes [PersonX's journey]. [PersonX's journey]	InstanceOf	travel
[PersonX stops asking]. [PersonX stops asking]	InstanceOf	stop
[PersonX has a great first day]. [PersonX has a great first day]	InstanceOf	success
[PersonX has a great first day]. [PersonX has a great first day]	InstanceOf	beginning
[PersonX has a great first day]. [PersonX has a great first day]	InstanceOf	experience
[PersonX has a great first day]. [PersonX has a great first day]	InstanceOf	day
[PersonX has a great first day]. [PersonX has a great first day]	InstanceOf	start
[PersonX establishes PersonY's state]. [PersonX establishes PersonY's state]	InstanceOf	establishment
PersonX has [a good night]. [a good night]	InstanceOf	good night
PersonX has [a good night]. [a good night]	InstanceOf	positive emotion
[PersonX lifts PersonY's head]. [PersonX lifts PersonY's head]	InstanceOf	lifting
[PersonX lifts PersonY's head]. [PersonX lifts PersonY's head]	InstanceOf	action
[PersonX reads PersonX's paper]. [PersonX reads PersonX's paper]	InstanceOf	reading
PersonX writes [a research paper]. [a research paper]	InstanceOf	essay
PersonX writes [a research paper]. [a research paper]	InstanceOf	document
PersonX writes [a research paper]. [a research paper]	InstanceOf	assignment
PersonX writes [a research paper]. [a research paper]	InstanceOf	paper
PersonX ensures [PersonY's survival]. [PersonY's survival]	InstanceOf	life
PersonX ensures [PersonY's survival]. [PersonY's survival]	InstanceOf	survival
PersonX is [the boss at PersonX's company]. [the boss at PersonX's company]	InstanceOf	key personnel
PersonX is [the boss at PersonX's company]. [the boss at PersonX's company]	InstanceOf	boss
PersonX is [the boss at PersonX's company]. [the boss at PersonX's company]	InstanceOf	leader
PersonX is [the boss at PersonX's company]. [the boss at PersonX's company]	InstanceOf	supervisor
PersonX is [the boss at PersonX's company]. [the boss at PersonX's company]	InstanceOf	top level manager
PersonX is [the boss at PersonX's company]. [the boss at PersonX's company]	InstanceOf	authority figure
[PersonX regains PersonX's health]. [PersonX regains PersonX's health]	InstanceOf	recovery
[PersonX regains PersonX's health]. [PersonX regains PersonX's health]	InstanceOf	wellness
[PersonX shops at the store]. [PersonX shops at the store]	InstanceOf	activity
[PersonX shops at the store]. [PersonX shops at the store]	InstanceOf	purchases
[PersonX shops at the store]. [PersonX shops at the store]	InstanceOf	purchasing
[PersonX shops at the store]. [PersonX shops at the store]	InstanceOf	shopping
[PersonX shops at the store]. [PersonX shops at the store]	InstanceOf	buying
PersonX takes [a taste]. [a taste]	InstanceOf	taste
PersonX takes [a taste]. [a taste]	InstanceOf	tasting
[PersonX holds back the tears]. [PersonX holds back the tears]	InstanceOf	restraint
[PersonX holds back the tears]. [PersonX holds back the tears]	InstanceOf	stressful experience
[PersonX holds back the tears]. [PersonX holds back the tears]	InstanceOf	emotion
[PersonX holds back the tears]. [PersonX holds back the tears]	InstanceOf	control
[PersonX exports from PersonY's state]. [PersonX exports from PersonY's state]	InstanceOf	exports
[PersonX exports from PersonY's state]. [PersonX exports from PersonY's state]	InstanceOf	shipping
[PersonX exports from PersonY's state]. [PersonX exports from PersonY's state]	InstanceOf	conducting business activity
[PersonX exports from PersonY's state]. [PersonX exports from PersonY's state]	InstanceOf	service
[PersonX is walking around]. [PersonX is walking around]	InstanceOf	activity
[PersonX is walking around]. [PersonX is walking around]	InstanceOf	physical activity
[PersonX is walking around]. [PersonX is walking around]	InstanceOf	walking
[PersonX is walking around]. [PersonX is walking around]	InstanceOf	gentle exercise
[PersonX is walking around]. [PersonX is walking around]	InstanceOf	cardiovascular exercise
[PersonX is walking around]. [PersonX is walking around]	InstanceOf	exercise
[PersonX is walking around]. [PersonX is walking around]	InstanceOf	light exercise
[PersonX is walking around]. [PersonX is walking around]	InstanceOf	aerobic activity
[PersonX is walking around]. [PersonX is walking around]	InstanceOf	moderate exercise
[PersonX is walking around]. [PersonX is walking around]	InstanceOf	aerobic exercise
PersonX attends [PersonY's meetings]. [PersonY's meetings]	InstanceOf	meetings
PersonX attends [PersonY's meetings]. [PersonY's meetings]	InstanceOf	gathering
PersonX walks around [campus]. [campus]	InstanceOf	school
PersonX walks around [campus]. [campus]	InstanceOf	campus
PersonX walks around [campus]. [campus]	InstanceOf	university
PersonX pleads [PersonX's cause]. [PersonX's cause]	InstanceOf	reason
PersonX pleads [PersonX's cause]. [PersonX's cause]	InstanceOf	cause
PersonX pleads [PersonX's cause]. [PersonX's cause]	InstanceOf	belief
[PersonX gets PersonY's wallet back]. [PersonX gets PersonY's wallet back]	InstanceOf	retrieval
[PersonX talks to PersonY a bit]. [PersonX talks to PersonY a bit]	InstanceOf	conversation
[PersonX talks to PersonY a bit]. [PersonX talks to PersonY a bit]	InstanceOf	conversing
[PersonX talks to PersonY a bit]. [PersonX talks to PersonY a bit]	InstanceOf	communication
[PersonX talks to PersonY a bit]. [PersonX talks to PersonY a bit]	InstanceOf	talking
[PersonX talks to PersonY a bit]. [PersonX talks to PersonY a bit]	InstanceOf	social interaction
[PersonX talks to PersonY a bit]. [PersonX talks to PersonY a bit]	InstanceOf	talk
[PersonX talks to PersonY a bit]. [PersonX talks to PersonY a bit]	InstanceOf	chat
[PersonX talks to PersonY a bit]. [PersonX talks to PersonY a bit]	InstanceOf	social activity
[PersonX talks to PersonY a bit]. [PersonX talks to PersonY a bit]	InstanceOf	chatting
[PersonX calls PersonX's insurance company]. [PersonX calls PersonX's insurance company]	InstanceOf	call
[PersonX calls PersonX's insurance company]. [PersonX calls PersonX's insurance company]	InstanceOf	calling
[PersonX calls PersonX's insurance company]. [PersonX calls PersonX's insurance company]	InstanceOf	communication
[PersonX opens the door for PersonY]. [PersonX opens the door for PersonY]	InstanceOf	opening
[PersonX opens the door for PersonY]. [PersonX opens the door for PersonY]	InstanceOf	gesture
PersonX pulls [pranks]. [pranks]	InstanceOf	prank
PersonX pulls [pranks]. [pranks]	InstanceOf	tricks
PersonX pulls [pranks]. [pranks]	InstanceOf	joke
PersonX finishes on [time]. [time]	InstanceOf	time
PersonX finishes on [time]. [time]	InstanceOf	deadline
[PersonX fulfils PersonX's obligations]. [PersonX fulfils PersonX's obligations]	InstanceOf	responsibility
PersonX eats [chips]. [chips]	InstanceOf	snacks
PersonX eats [chips]. [chips]	InstanceOf	chips
PersonX eats [chips]. [chips]	InstanceOf	food
PersonX plays [professional football]. [professional football]	InstanceOf	professional football
PersonX plays [professional football]. [professional football]	InstanceOf	team sport
PersonX plays [professional football]. [professional football]	InstanceOf	sports
PersonX plays [professional football]. [professional football]	InstanceOf	popular sport
PersonX plays [professional football]. [professional football]	InstanceOf	football
PersonX plays [professional football]. [professional football]	InstanceOf	physically demanding sport
[PersonX has always wanted to go to]. [PersonX has always wanted to go to]	InstanceOf	long-term goal
[PersonX has always wanted to go to]. [PersonX has always wanted to go to]	InstanceOf	objective
[PersonX has always wanted to go to]. [PersonX has always wanted to go to]	InstanceOf	wish
[PersonX has always wanted to go to]. [PersonX has always wanted to go to]	InstanceOf	hope
[PersonX has always wanted to go to]. [PersonX has always wanted to go to]	InstanceOf	intention
[PersonX has always wanted to go to]. [PersonX has always wanted to go to]	InstanceOf	goal
[PersonX eagerly waited]. [PersonX eagerly waited]	InstanceOf	waiting
[PersonX eagerly waited]. [PersonX eagerly waited]	InstanceOf	wait
[PersonX surfs the web]. [PersonX surfs the web]	InstanceOf	network activity
[PersonX surfs the web]. [PersonX surfs the web]	InstanceOf	internet browsing
[PersonX surfs the web]. [PersonX surfs the web]	InstanceOf	internet surfing
PersonX diagnoses with [diabetes]. [diabetes]	InstanceOf	chronic illness
PersonX diagnoses with [diabetes]. [diabetes]	InstanceOf	condition
PersonX diagnoses with [diabetes]. [diabetes]	InstanceOf	chronic disease
PersonX diagnoses with [diabetes]. [diabetes]	InstanceOf	diabetes
PersonX diagnoses with [diabetes]. [diabetes]	InstanceOf	illness
PersonX diagnoses with [diabetes]. [diabetes]	InstanceOf	chronic condition
PersonX diagnoses with [diabetes]. [diabetes]	InstanceOf	medical condition
PersonX diagnoses with [diabetes]. [diabetes]	InstanceOf	health condition
PersonX diagnoses with [diabetes]. [diabetes]	InstanceOf	health problem
[PersonX is lost in the woods]. [PersonX is lost in the woods]	InstanceOf	lost
PersonX feels [silly]. [silly]	InstanceOf	goofy
PersonX feels [silly]. [silly]	InstanceOf	silliness
[PersonX has a pet cat]. [PersonX has a pet cat]	InstanceOf	pet ownership
[PersonX has a pet cat]. [PersonX has a pet cat]	InstanceOf	animal
[PersonX has a pet cat]. [PersonX has a pet cat]	InstanceOf	companion animal
[PersonX has a pet cat]. [PersonX has a pet cat]	InstanceOf	pet
[PersonX has a pet cat]. [PersonX has a pet cat]	InstanceOf	furry animal
[PersonX has a pet cat]. [PersonX has a pet cat]	InstanceOf	pet cat
[PersonX has a pet cat]. [PersonX has a pet cat]	InstanceOf	cat
[PersonX has a pet cat]. [PersonX has a pet cat]	InstanceOf	small animal
[PersonX has a pet cat]. [PersonX has a pet cat]	InstanceOf	domestic animal
[PersonX decides to try something new]. [PersonX decides to try something new]	InstanceOf	choosing
[PersonX obeys PersonY's commands]. [PersonX obeys PersonY's commands]	InstanceOf	compliance
[PersonX obeys PersonY's commands]. [PersonX obeys PersonY's commands]	InstanceOf	obedience
[PersonX looks in the mirror]. [PersonX looks in the mirror]	InstanceOf	look
[PersonX looks in the mirror]. [PersonX looks in the mirror]	InstanceOf	visual perception
[PersonX looks in the mirror]. [PersonX looks in the mirror]	InstanceOf	checking
PersonX is [hard] at work. [hard]	InstanceOf	dedication
PersonX is [hard] at work. [hard]	InstanceOf	hard working
PersonX sends PersonY on [PersonX's way]. [PersonX's way]	InstanceOf	path
PersonX sends PersonY on [PersonX's way]. [PersonX's way]	InstanceOf	way
PersonX finds [a stray dog]. [a stray dog]	InstanceOf	dog
PersonX finds [a stray dog]. [a stray dog]	InstanceOf	animal
PersonX finds [a stray dog]. [a stray dog]	InstanceOf	canine
PersonX finds [a stray dog]. [a stray dog]	InstanceOf	semi wild animal
PersonX finds [a stray dog]. [a stray dog]	InstanceOf	stray dog
PersonX finds [a stray dog]. [a stray dog]	InstanceOf	domestic animal
[PersonX loves PersonY's mother]. [PersonX loves PersonY's mother]	InstanceOf	feeling
[PersonX loves PersonY's mother]. [PersonX loves PersonY's mother]	InstanceOf	love
[PersonX loves PersonY's mother]. [PersonX loves PersonY's mother]	InstanceOf	loving
PersonX slams [the door]. [the door]	InstanceOf	door
[PersonX goes mountain climbing]. [PersonX goes mountain climbing]	InstanceOf	activity
[PersonX goes mountain climbing]. [PersonX goes mountain climbing]	InstanceOf	dangerous sport
[PersonX goes mountain climbing]. [PersonX goes mountain climbing]	InstanceOf	physical activity
[PersonX goes mountain climbing]. [PersonX goes mountain climbing]	InstanceOf	outdoor sport
[PersonX goes mountain climbing]. [PersonX goes mountain climbing]	InstanceOf	adventure activity
[PersonX goes mountain climbing]. [PersonX goes mountain climbing]	InstanceOf	sport
[PersonX goes mountain climbing]. [PersonX goes mountain climbing]	InstanceOf	mountain climbing
[PersonX goes mountain climbing]. [PersonX goes mountain climbing]	InstanceOf	mountain sport
[PersonX goes mountain climbing]. [PersonX goes mountain climbing]	InstanceOf	extreme sport
[PersonX goes mountain climbing]. [PersonX goes mountain climbing]	InstanceOf	outdoor activity
[PersonX goes mountain climbing]. [PersonX goes mountain climbing]	InstanceOf	climbing
[PersonX goes mountain climbing]. [PersonX goes mountain climbing]	InstanceOf	high risk activity
[PersonX goes mountain climbing]. [PersonX goes mountain climbing]	InstanceOf	adventurous activity
[PersonX follows PersonY's gaze]. [PersonX follows PersonY's gaze]	InstanceOf	visual perception
[PersonX increases PersonY's share]. [PersonX increases PersonY's share]	InstanceOf	increase
[PersonX increases PersonY's share]. [PersonX increases PersonY's share]	InstanceOf	growth
[PersonX works extra hard]. [PersonX works extra hard]	InstanceOf	working
[PersonX works extra hard]. [PersonX works extra hard]	InstanceOf	dedication
[PersonX works extra hard]. [PersonX works extra hard]	InstanceOf	work
[PersonX works extra hard]. [PersonX works extra hard]	InstanceOf	effort
[PersonX works from home]. [PersonX works from home]	InstanceOf	work
[PersonX works from home]. [PersonX works from home]	InstanceOf	home office
[PersonX works from home]. [PersonX works from home]	InstanceOf	employment
[PersonX works from home]. [PersonX works from home]	InstanceOf	working
[PersonX works from home]. [PersonX works from home]	InstanceOf	job
PersonX is taking [a long time]. [a long time]	InstanceOf	long time
PersonX is taking [a long time]. [a long time]	InstanceOf	time
[PersonX bites PersonY's finger]. [PersonX bites PersonY's finger]	InstanceOf	bite
[PersonX bites PersonY's finger]. [PersonX bites PersonY's finger]	InstanceOf	aggression
[PersonX bites PersonY's finger]. [PersonX bites PersonY's finger]	InstanceOf	aggressive behavior
[PersonX brings PersonY to fame]. [PersonX brings PersonY to fame]	InstanceOf	fame
[PersonX hits a pole]. [PersonX hits a pole]	InstanceOf	wreck
PersonX packs up [PersonY's things]. [PersonY's things]	InstanceOf	items
PersonX packs up [PersonY's things]. [PersonY's things]	InstanceOf	things
PersonX packs up [PersonY's things]. [PersonY's things]	InstanceOf	stuff
[PersonX is moving into a new house]. [PersonX is moving into a new house]	InstanceOf	move
[PersonX is moving into a new house]. [PersonX is moving into a new house]	InstanceOf	relocation
[PersonX is moving into a new house]. [PersonX is moving into a new house]	InstanceOf	life event
[PersonX is moving into a new house]. [PersonX is moving into a new house]	InstanceOf	moving
[PersonX is moving into a new house]. [PersonX is moving into a new house]	InstanceOf	life change
PersonX eats [rice]. [rice]	InstanceOf	rice
[PersonX sees a woman]. [PersonX sees a woman]	InstanceOf	observation
[PersonX parks PersonY's car]. [PersonX parks PersonY's car]	InstanceOf	parking
PersonX is hesitant at [first]. [first]	InstanceOf	beginning
PersonX is hesitant at [first]. [first]	InstanceOf	first
PersonX is hesitant at [first]. [first]	InstanceOf	start
[PersonX makes PersonY a provision]. [PersonX makes PersonY a provision]	InstanceOf	provision
[PersonX suddenly appeared]. [PersonX suddenly appeared]	InstanceOf	appearance
[PersonX suddenly appeared]. [PersonX suddenly appeared]	InstanceOf	presence
[PersonX dies shortly]. [PersonX dies shortly]	InstanceOf	dying
[PersonX dies shortly]. [PersonX dies shortly]	InstanceOf	mortality
[PersonX dies shortly]. [PersonX dies shortly]	InstanceOf	end of life
[PersonX just started a new job]. [PersonX just started a new job]	InstanceOf	job
[PersonX just started a new job]. [PersonX just started a new job]	InstanceOf	work
[PersonX just started a new job]. [PersonX just started a new job]	InstanceOf	new job
[PersonX just started a new job]. [PersonX just started a new job]	InstanceOf	profession
[PersonX just started a new job]. [PersonX just started a new job]	InstanceOf	employment
[PersonX needs clothes]. [PersonX needs clothes]	InstanceOf	basic need
[PersonX needs clothes]. [PersonX needs clothes]	InstanceOf	needs
PersonX floats down [the river]. [the river]	InstanceOf	water
PersonX floats down [the river]. [the river]	InstanceOf	river
PersonX floats down [the river]. [the river]	InstanceOf	waterway
PersonX prevents PersonY from [seeing]. [seeing]	InstanceOf	observation
PersonX prevents PersonY from [seeing]. [seeing]	InstanceOf	visual perception
[PersonX brings food]. [PersonX brings food]	InstanceOf	contribution
[PersonX brings food]. [PersonX brings food]	InstanceOf	catering
[PersonX studies all night]. [PersonX studies all night]	InstanceOf	study
[PersonX studies all night]. [PersonX studies all night]	InstanceOf	effort
[PersonX studies all night]. [PersonX studies all night]	InstanceOf	learning
PersonX has [a huge fight]. [a huge fight]	InstanceOf	disagreement
PersonX has [a huge fight]. [a huge fight]	InstanceOf	brawl
PersonX has [a huge fight]. [a huge fight]	InstanceOf	battle
PersonX has [a huge fight]. [a huge fight]	InstanceOf	spontaneous conflict
PersonX has [a huge fight]. [a huge fight]	InstanceOf	confrontation
PersonX has [a huge fight]. [a huge fight]	InstanceOf	fighting
PersonX has [a huge fight]. [a huge fight]	InstanceOf	social or relationship problem
PersonX has [a huge fight]. [a huge fight]	InstanceOf	incident
PersonX has [a huge fight]. [a huge fight]	InstanceOf	argument
PersonX has [a huge fight]. [a huge fight]	InstanceOf	conflict
[PersonX joins the marines]. [PersonX joins the marines]	InstanceOf	enlistment
PersonX does [magic tricks]. [magic tricks]	InstanceOf	illusion
PersonX does [magic tricks]. [magic tricks]	InstanceOf	magic trick
PersonX does [magic tricks]. [magic tricks]	InstanceOf	entertainment
[PersonX learns how to cook]. [PersonX learns how to cook]	InstanceOf	learning
PersonX runs along [the side]. [the side]	InstanceOf	side
PersonX runs along [the side]. [the side]	InstanceOf	perimeter
PersonX runs along [the side]. [the side]	InstanceOf	area
[PersonX writes PersonY's life]. [PersonX writes PersonY's life]	InstanceOf	nonfiction piece
